female,age,edu,income,region,july25,mps,people,officials,leg2019_voted,leg2019,pres2019_1_voted,pres2019_1,pres2019_2_voted,pres2019_2
0,31,3,1,Gabes,2,3,2,1,2,NA,2,NA,2,NA
0,38,5,NA,Tunis,2,1,4,1,1,2,1,96,1,1
0,51,2,3,Nabeul,1,3,1,5,1,1,2,NA,2,NA
0,61,1,NA,Nabeul,1,5,1,5,1,2,1,2,1,1
0,27,4,NA,Ben Arous,1,1,1,1,2,NA,2,NA,2,NA
0,51,2,2,Tunis,1,5,4,5,1,98,1,1,1,1
0,69,4,3,Mahdia,1,4,1,1,2,NA,2,NA,2,NA
0,65,2,3,Nabeul,1,5,1,5,1,2,1,1,1,1
0,36,3,2,Tunis,1,1,1,1,2,NA,2,NA,1,1
0,55,8,8,Tunis,1,1,5,1,1,2,1,1,1,1
0,31,3,3,Ben Arous,1,2,5,1,1,99,2,NA,1,1
0,42,7,7,Sfax,1,1,5,1,1,97,1,9,1,97
0,54,6,3,Ariana,1,1,1,2,2,NA,2,NA,2,NA
0,60,2,2,Mahdia,1,1,1,1,1,2,1,1,1,1
0,72,2,3,Kasserine,1,2,1,4,1,3,1,1,1,1
0,28,8,7,Sousse,2,2,2,2,2,NA,2,NA,2,NA
0,49,3,2,Monastir,1,4,5,5,2,NA,2,NA,2,NA
0,39,3,3,Bizerte,1,5,1,1,1,3,1,1,1,1
0,21,4,4,Ben Arous,98,5,3,5,2,NA,2,NA,2,NA
0,22,4,2,Gafsa,1,1,3,1,1,2,1,1,1,1
0,40,2,NA,Ariana,2,5,5,4,2,NA,2,NA,2,NA
0,26,3,NA,Medenine,2,2,5,1,1,6,1,1,1,1
0,52,4,3,Sfax,1,1,1,1,1,1,1,1,1,1
0,55,6,2,Medenine,1,1,5,1,1,6,1,1,1,1
0,38,7,5,Sousse,1,5,4,1,1,5,1,1,1,1
0,45,2,3,Tunis,1,5,1,1,2,NA,1,1,1,1
0,45,4,5,Sousse,1,1,1,1,2,NA,1,1,1,1
0,56,4,6,Kasserine,1,1,1,1,1,6,1,7,1,1
0,43,2,2,Kairouan,98,3,3,1,2,NA,2,NA,2,NA
0,60,4,4,Siliana,1,5,1,1,1,96,1,1,1,1
0,36,4,5,Gafsa,1,3,1,5,1,1,1,1,1,1
0,50,2,5,Nabeul,1,1,2,1,2,NA,2,NA,2,NA
0,47,6,3,Bizerte,1,1,1,1,1,3,1,4,1,1
0,53,4,3,Zaghouan,1,1,1,1,1,3,1,1,1,1
0,58,4,5,Sfax,1,3,1,1,1,5,1,1,1,1
0,37,8,8,Ariana,1,1,1,1,1,99,1,1,1,1
0,25,2,2,Sidi Bou Zid,1,1,1,1,1,4,1,98,1,99
0,51,2,3,Monastir,1,1,1,1,1,3,1,1,1,1
0,29,7,NA,Nabeul,1,2,2,2,2,NA,2,NA,2,NA
0,41,4,4,Sousse,1,1,1,1,1,98,1,1,1,1
0,56,2,3,Nabeul,98,2,2,2,2,NA,2,NA,2,NA
0,60,2,2,Sfax,1,1,3,1,1,3,1,1,1,1
0,22,3,5,Sfax,2,5,4,5,2,NA,2,NA,2,NA
0,55,7,4,Gabes,1,1,4,1,1,6,1,1,1,1
0,26,4,3,Ben Arous,1,1,4,4,1,3,1,1,1,1
0,27,6,3,Mahdia,1,1,2,1,2,NA,2,NA,2,NA
0,28,3,4,Mahdia,2,1,1,1,2,NA,2,NA,2,NA
0,40,8,4,Sfax,2,3,3,3,1,99,1,99,1,99
0,42,2,3,Nabeul,1,1,1,1,1,1,1,1,1,1
0,42,5,2,Monastir,1,1,4,1,1,97,1,1,1,1
0,37,4,3,Kebili,2,4,2,2,1,5,1,11,1,1
0,37,2,2,Sfax,98,98,4,1,2,NA,1,1,1,1
0,42,2,4,Sidi Bou Zid,1,5,2,1,1,1,98,NA,1,1
0,45,4,3,Medenine,98,3,5,1,2,NA,2,NA,2,NA
0,46,4,2,Kasserine,2,4,1,5,2,NA,2,NA,2,NA
0,43,2,3,Bizerte,1,2,1,1,1,1,2,NA,1,1
0,63,4,2,Kairouan,1,1,1,2,1,99,1,1,1,1
0,29,4,6,Ariana,2,4,5,5,2,NA,2,NA,2,NA
0,51,2,NA,Manouba,1,4,1,1,2,NA,2,NA,2,NA
0,46,4,8,Bizerte,2,1,5,1,1,3,1,9,1,2
0,42,2,NA,Sfax,1,1,1,1,2,NA,1,1,1,1
0,48,2,4,Sousse,2,1,1,1,2,NA,2,NA,2,NA
0,57,4,3,Monastir,1,2,1,1,2,NA,2,NA,2,NA
0,29,4,3,Sousse,1,3,4,1,1,1,1,5,1,1
0,21,5,NA,Monastir,2,5,2,2,2,NA,1,1,1,1
0,58,4,7,Mahdia,1,2,5,2,1,96,1,1,1,1
0,47,2,3,Zaghouan,1,1,1,1,1,96,1,1,1,1
0,57,5,8,Sfax,2,2,4,4,1,6,1,4,1,1
0,54,4,3,Ben Arous,1,5,1,1,2,NA,2,NA,2,NA
0,41,4,3,Le Kef,1,1,5,1,1,1,1,1,1,1
0,32,4,3,Sfax,1,5,4,1,1,1,1,1,1,1
0,20,4,3,Kairouan,1,1,1,1,2,NA,2,NA,2,NA
0,28,4,8,Ariana,2,2,1,1,2,NA,2,NA,1,1
0,48,4,3,Monastir,1,5,1,1,1,97,1,1,1,1
0,61,6,8,Monastir,1,5,2,1,1,1,1,98,1,1
0,46,2,2,Sousse,2,4,1,5,2,NA,2,NA,2,NA
0,40,4,4,Sidi Bou Zid,1,1,2,1,2,NA,1,1,1,1
0,40,2,2,Sfax,1,3,2,2,2,NA,2,NA,2,NA
0,63,4,1,Kairouan,1,4,1,98,1,3,2,NA,2,NA
0,20,4,6,Sfax,2,1,1,1,2,NA,2,NA,2,NA
0,35,4,3,Tozeur,1,1,2,1,2,NA,1,1,1,1
0,40,7,5,Monastir,1,3,1,5,1,99,1,1,1,1
0,60,4,4,Medenine,1,1,4,1,2,NA,2,NA,2,NA
0,51,4,2,Kebili,2,5,1,2,2,NA,2,NA,2,NA
0,30,4,3,Gabes,2,4,3,1,2,NA,2,NA,2,NA
0,37,2,8,Ben Arous,1,2,5,1,1,98,1,1,1,1
0,45,2,2,Mahdia,1,5,1,1,2,NA,1,1,2,NA
0,57,6,3,Sidi Bou Zid,98,98,2,4,1,1,1,1,1,1
0,60,6,NA,Mahdia,1,1,5,2,1,96,1,1,1,1
0,40,4,3,Mahdia,1,5,1,5,1,7,1,1,2,NA
0,31,4,6,Tunis,1,5,5,1,2,NA,2,NA,2,NA
0,27,4,5,Bizerte,98,3,3,2,2,NA,1,99,1,99
0,37,5,5,Sousse,1,1,4,2,2,NA,1,4,2,NA
0,44,2,5,Ben Arous,1,1,1,1,2,NA,1,1,1,1
0,35,5,3,Gafsa,1,2,2,2,1,99,1,99,1,99
